Наименование,ISIN,Валюта,Количество_нп,Номинал_нп,Цена_нп,Стоимость_нп,НКД_нп,Количество_кп,Номинал_кп,Цена_кп,Стоимость_кп,НКД_кп,Количество_изп,Стоимость_изп,Зачисления,Списания,Остаток,Дата
ЛУКОЙЛ,RU0009024277,RUB,1,0.025,5147,5147.00,0,1,0.025,5100,5100.00,0,0,-47.00,0,0,1,2023-06-23
Магнитао,RU000A0JKQU8,RUB,1,0.01,4958,4958.00,0,1,0.01,4882.5,4882.50,0,0,-75.50,0,0,1,2023-06-23
МТС-ао,RU0007775219,RUB,10,0.1,346,3460.00,0,10,0.1,344.45,3444.50,0,0,-15.50,10,0,20,2023-06-23
Сбербанк,RU0009029540,RUB,30,3,241.85,7255.50,0,30,3,239.79,7193.70,0,0,-61.80,0,0,30,2023-06-23
25084,RU000A101FA1,RUB,0,1000,98.539,0.00,0,30,1000,98.496,29548.80,344.1,30,29548.80,0,0,30,2022-12-23
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2022-12-23
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2022-12-23
БПИФбрутто,RU000A0ZZH92,RUB,417,1,11.595,4835.12,0,417,1,11.62,4845.54,0,0,10.42,53,0,470,2022-12-23
FXDEETF,IE00BD3QJN10,RUB,118,1,30.39,3586.02,0,118,1,30.23,3567.14,0,0,-18.88,0,0,118,2022-01-24
FXDMETF,IE00BMDKNM37,RUB,89,1,81.57,7259.73,0,89,1,81.39,7243.71,0,0,-16.02,0,0,89,2022-01-24
FXGDETF,IE00B8XB7377,RUB,2,1,946.6,1893.20,0,2,1,968,1936.00,0,0,42.80,0,0,2,2022-01-24
FXIMETF,IE00BNC2D728,RUB,30,1,96.02,2880.60,0,30,1,93.89,2816.70,0,0,-63.90,7,0,37,2022-01-24
FXRLETF,IE00BQ1Y6480,RUB,170,1,38.3,6511.00,0,170,1,35.92,6106.40,0,0,-404.60,17,0,187,2022-01-24
FXRUETF,IE00BD5FH213,RUB,3,1,939.8,2819.40,0,3,1,958.1,2874.30,0,0,54.90,0,0,3,2022-01-24
FXRWETF,IE00BK224M36,RUB,1035,1,1.3073,1353.06,0,1035,1,1.2803,1325.11,0,0,-27.95,65,0,1100,2022-01-24
FXUSETF,IE00BD3QHZ91,RUB,300,1,62.17,18651.00,0,300,1,62,18600.00,0,0,-51.00,45,0,345,2022-01-24
SBSPETF,RU000A1006W1,RUB,4,1,1825.2,7300.80,0,4,1,1811.8,7247.20,0,0,-53.60,0,0,4,2022-01-24
VTBEETF,RU000A100HQ5,RUB,78,1,95.44,7444.32,0,78,1,94.15,7343.70,0,0,-100.62,0,0,78,2022-01-24
БПИФбрутто,RU000A0ZZH92,RUB,370,1,17.681,6541.97,0,370,1,16.748,6196.76,0,0,-345.21,40,0,410,2022-01-24
FXDEETF,IE00BD3QJN10,RUB,100,1,30.04,3004.00,0,100,1,29.95,2995.00,0,0,-9.00,0,0,100,2021-11-24
FXDMETF,IE00BMDKNM37,RUB,70,1,79.14,5539.80,0,70,1,78.85,5519.50,0,0,-20.30,0,0,70,2021-11-24
FXGDETF,IE00B8XB7377,RUB,2,1,901.8,1803.60,0,2,1,896.4,1792.80,0,0,-10.80,0,0,2,2021-11-24
FXIMETF,IE00BNC2D728,RUB,23,1,101.63,2337.49,0,23,1,102.73,2362.79,0,0,25.30,7,0,30,2021-11-24
FXRLETF,IE00BQ1Y6480,RUB,100,1,43.085,4308.50,0,100,1,43.45,4345.00,0,0,36.50,35,0,135,2021-11-24
FXRUETF,IE00BD5FH213,RUB,3,1,956.8,2870.40,0,3,1,955,2865.00,0,0,-5.40,0,0,3,2021-11-24
FXRWETF,IE00BK224M36,RUB,800,1,1.354,1083.20,0,800,1,1.3492,1079.36,0,0,-3.84,0,0,800,2021-11-24
FXUSETF,IE00BD3QHZ91,RUB,300,1,63.87,19161.00,0,300,1,64.03,19209.00,0,0,48.00,0,0,300,2021-11-24
SBSPETF,RU000A1006W1,RUB,3,1,1857.8,5573.40,0,3,1,1854,5562.00,0,0,-11.40,0,0,3,2021-11-24
VTBEETF,RU000A100HQ5,RUB,50,1,92.4,4620.00,0,50,1,92.81,4640.50,0,0,20.50,13,0,63,2021-11-24
БПИФбрутто,RU000A0ZZH92,RUB,240,1,19.721,4733.04,0,240,1,20.036,4808.64,0,0,75.60,28,0,268,2021-11-24
FXDEETF,IE00BD3QJN10,RUB,118,1,30.23,3567.14,0,118,1,30.01,3541.18,0,0,-25.96,0,0,118,2022-01-25
FXDMETF,IE00BMDKNM37,RUB,89,1,81.39,7243.71,0,89,1,80.21,7138.69,0,0,-105.02,0,0,89,2022-01-25
FXGDETF,IE00B8XB7377,RUB,2,1,968,1936.00,0,2,1,973.4,1946.80,0,0,10.80,0,0,2,2022-01-25
FXIMETF,IE00BNC2D728,RUB,30,1,93.89,2816.70,0,30,1,94.13,2823.90,0,0,7.20,7,0,37,2022-01-25
FXRLETF,IE00BQ1Y6480,RUB,170,1,35.92,6106.40,0,170,1,36.215,6156.55,0,0,50.15,17,0,187,2022-01-25
FXRUETF,IE00BD5FH213,RUB,3,1,958.1,2874.30,0,3,1,937.9,2813.70,0,0,-60.60,0,0,3,2022-01-25
FXRWETF,IE00BK224M36,RUB,1035,1,1.2803,1325.11,0,1035,1,1.2686,1313.00,0,0,-12.11,65,0,1100,2022-01-25
FXUSETF,IE00BD3QHZ91,RUB,300,1,62,18600.00,0,300,1,62.03,18609.00,0,0,9.00,45,0,345,2022-01-25
SBSPETF,RU000A1006W1,RUB,4,1,1811.8,7247.20,0,4,1,1815.8,7263.20,0,0,16.00,0,0,4,2022-01-25
VTBEETF,RU000A100HQ5,RUB,78,1,94.15,7343.70,0,78,1,94.05,7335.90,0,0,-7.80,0,0,78,2022-01-25
БПИФбрутто,RU000A0ZZH92,RUB,370,1,16.748,6196.76,0,370,1,16.826,6225.62,0,0,28.86,40,0,410,2022-01-25
SBSPETF,RU000A1006W1,RUB,5,1,1774.6,8873.00,0,5,1,1774.6,8873.00,0,0,0.00,0,0,5,2022-04-25
VTBEETF,RU000A100HQ5,RUB,81,1,91.24,7390.44,0,81,1,91.24,7390.44,0,0,0.00,0,0,81,2022-04-25
БПИФбрутто,RU000A0ZZH92,RUB,417,1,11.321,4720.86,0,417,1,11.078,4619.53,0,0,-101.33,0,0,417,2022-04-25
FXDEETF,IE00BD3QJN10,RUB,1,1,3146,3146.00,0,1,1,3123,3123.00,0,0,-23.00,0,0,1,2021-05-25
FXDMETF,IE00BMDKNM37,RUB,40,1,77.21,3088.40,0,40,1,77.18,3087.20,0,0,-1.20,0,0,40,2021-05-25
FXIMETF,IE00BNC2D728,RUB,20,1,84.67,1693.40,0,20,1,85.8,1716.00,0,0,22.60,0,0,20,2021-05-25
FXRLETF,IE00BQ1Y6480,RUB,1,1,3912.5,3912.50,0,1,1,3934.5,3934.50,0,0,22.00,0,0,1,2021-05-25
FXRUETF,IE00BD5FH213,RUB,2,1,952.2,1904.40,0,2,1,950,1900.00,0,0,-4.40,0,0,2,2021-05-25
FXRWETF,IE00BK224M36,RUB,465,1,1.23,571.95,0,465,1,1.2394,576.32,0,0,4.37,0,0,465,2021-05-25
FXUSETF,IE00BD3QHZ91,RUB,1,1,5632,5632.00,0,1,1,5655,5655.00,0,0,23.00,1,0,2,2021-05-25
SBSPETF,RU000A1006W1,RUB,2,1,1639.6,3279.20,0,2,1,1643.6,3287.20,0,0,8.00,0,0,2,2021-05-25
VTBEETF,RU000A100HQ5,RUB,3,1,94.97,284.91,0,3,1,96.26,288.78,0,0,3.87,0,0,3,2021-05-25
БПИФбрутто,RU000A0ZZH92,RUB,2,1,1803,3606.00,0,2,1,1815,3630.00,0,0,24.00,0,0,2,2021-05-25
FXDEETF,IE00BD3QJN10,RUB,100,1,29.95,2995.00,0,100,1,29.95,2995.00,0,0,0.00,0,0,100,2021-11-25
FXDMETF,IE00BMDKNM37,RUB,70,1,78.85,5519.50,0,70,1,79.41,5558.70,0,0,39.20,0,0,70,2021-11-25
FXGDETF,IE00B8XB7377,RUB,2,1,896.4,1792.80,0,2,1,898.4,1796.80,0,0,4.00,0,0,2,2021-11-25
FXIMETF,IE00BNC2D728,RUB,23,1,102.73,2362.79,0,23,1,102.75,2363.25,0,0,0.46,7,0,30,2021-11-25
FXRLETF,IE00BQ1Y6480,RUB,100,1,43.45,4345.00,0,100,1,43.215,4321.50,0,0,-23.50,35,0,135,2021-11-25
FXRUETF,IE00BD5FH213,RUB,3,1,955,2865.00,0,3,1,950.8,2852.40,0,0,-12.60,0,0,3,2021-11-25
FXRWETF,IE00BK224M36,RUB,800,1,1.3492,1079.36,0,800,1,1.3547,1083.76,0,0,4.40,0,0,800,2021-11-25
FXUSETF,IE00BD3QHZ91,RUB,300,1,64.03,19209.00,0,300,1,64.47,19341.00,0,0,132.00,0,0,300,2021-11-25
SBSPETF,RU000A1006W1,RUB,3,1,1854,5562.00,0,3,1,1869,5607.00,0,0,45.00,0,0,3,2021-11-25
VTBEETF,RU000A100HQ5,RUB,50,1,92.81,4640.50,0,50,1,92.91,4645.50,0,0,5.00,13,0,63,2021-11-25
БПИФбрутто,RU000A0ZZH92,RUB,240,1,20.036,4808.64,0,240,1,20.031,4807.44,0,0,-1.20,28,0,268,2021-11-25
FXDEETF,IE00BD3QJN10,RUB,118,1,30.01,3541.18,0,118,1,30.84,3639.12,0,0,97.94,0,0,118,2022-01-26
FXDMETF,IE00BMDKNM37,RUB,89,1,80.21,7138.69,0,89,1,82.33,7327.37,0,0,188.68,0,0,89,2022-01-26
FXGDETF,IE00B8XB7377,RUB,2,1,973.4,1946.80,0,2,1,979.4,1958.80,0,0,12.00,0,0,2,2022-01-26
FXIMETF,IE00BNC2D728,RUB,30,1,94.13,2823.90,0,37,1,96.83,3582.71,0,7,758.81,0,0,37,2022-01-26
FXRLETF,IE00BQ1Y6480,RUB,170,1,36.215,6156.55,0,187,1,37.005,6919.94,0,17,763.39,0,0,187,2022-01-26
FXRUETF,IE00BD5FH213,RUB,3,1,937.9,2813.70,0,3,1,953.4,2860.20,0,0,46.50,0,0,3,2022-01-26
FXRWETF,IE00BK224M36,RUB,1035,1,1.2686,1313.00,0,1100,1,1.2856,1414.16,0,65,101.16,0,0,1100,2022-01-26
FXUSETF,IE00BD3QHZ91,RUB,300,1,62.03,18609.00,0,345,1,63.06,21755.70,0,45,3146.70,0,0,345,2022-01-26
SBSPETF,RU000A1006W1,RUB,4,1,1815.8,7263.20,0,4,1,1855.2,7420.80,0,0,157.60,0,0,4,2022-01-26
VTBEETF,RU000A100HQ5,RUB,78,1,94.05,7335.90,0,78,1,95.76,7469.28,0,0,133.38,0,0,78,2022-01-26
БПИФбрутто,RU000A0ZZH92,RUB,370,1,16.826,6225.62,0,410,1,17.31,7097.10,0,40,871.48,0,0,410,2022-01-26
FXDEETF,IE00BD3QJN10,RUB,1,1,3123,3123.00,0,1,1,3144.5,3144.50,0,0,21.50,0,0,1,2021-05-26
FXDMETF,IE00BMDKNM37,RUB,40,1,77.18,3087.20,0,40,1,76.85,3074.00,0,0,-13.20,0,0,40,2021-05-26
FXIMETF,IE00BNC2D728,RUB,20,1,85.8,1716.00,0,20,1,85.79,1715.80,0,0,-0.20,0,0,20,2021-05-26
FXRLETF,IE00BQ1Y6480,RUB,1,1,3934.5,3934.50,0,1,1,3961,3961.00,0,0,26.50,0,0,1,2021-05-26
FXRUETF,IE00BD5FH213,RUB,2,1,950,1900.00,0,2,1,951.9,1903.80,0,0,3.80,0,0,2,2021-05-26
FXRWETF,IE00BK224M36,RUB,465,1,1.2394,576.32,0,465,1,1.2427,577.86,0,0,1.54,0,0,465,2021-05-26
FXUSETF,IE00BD3QHZ91,RUB,1,1,5655,5655.00,0,1,1,5654,5654.00,0,0,-1.00,1,0,2,2021-05-26
SBSPETF,RU000A1006W1,RUB,2,1,1643.6,3287.20,0,2,1,1641.4,3282.80,0,0,-4.40,0,0,2,2021-05-26
VTBEETF,RU000A100HQ5,RUB,3,1,96.26,288.78,0,3,1,96.49,289.47,0,0,0.69,0,0,3,2021-05-26
БПИФбрутто,RU000A0ZZH92,RUB,2,1,1815,3630.00,0,2,1,1826.5,3653.00,0,0,23.00,0,0,2,2021-05-26
25084,RU000A101FA1,RUB,35,1000,99.273,34745.55,254.1,35,1000,99.283,34749.05,259.35,0,3.50,0,0,35,2023-05-26
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-05-26
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-05-26
БПИФбрутто,RU000A0ZZH92,RUB,830,1,14.807,12289.81,0,830,1,14.895,12362.85,0,0,73.04,0,0,830,2023-05-26
ГАЗПРОМао,RU0007661625,RUB,20,5,161.5,3230.00,0,20,5,164.12,3282.40,0,0,52.40,10,0,30,2023-05-26
ЛУКОЙЛ,RU0009024277,RUB,1,0.025,5195.5,5195.50,0,1,0.025,5238.5,5238.50,0,0,43.00,0,0,1,2023-05-26
МТС-ао,RU0007775219,RUB,10,0.1,305.6,3056.00,0,10,0.1,306.9,3069.00,0,0,13.00,0,0,10,2023-05-26
Сбербанк,RU0009029540,RUB,20,3,244.71,4894.20,0,20,3,246.35,4927.00,0,0,32.80,0,0,20,2023-05-26
25084,RU000A101FA1,RUB,35,1000,99.56,34846.00,401.45,35,1000,99.492,34822.20,416.85,0,-23.80,0,0,35,2023-06-26
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-06-26
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-06-26
YandexclA,NL0009805522,RUB,1,0.01,2442.4,2442.40,0,1,0.01,2407.2,2407.20,0,0,-35.20,0,0,1,2023-06-26
БПИФбрутто,RU000A0ZZH92,RUB,830,1,15.801,13114.83,0,830,1,15.663,13000.29,0,0,-114.54,0,0,830,2023-06-26
ГАЗПРОМао,RU0007661625,RUB,30,5,167.75,5032.50,0,30,5,167.28,5018.40,0,0,-14.10,0,0,30,2023-06-26
ЛУКОЙЛ,RU0009024277,RUB,1,0.025,5100,5100.00,0,1,0.025,5070.5,5070.50,0,0,-29.50,0,0,1,2023-06-26
Магнитао,RU000A0JKQU8,RUB,1,0.01,4882.5,4882.50,0,1,0.01,4807,4807.00,0,0,-75.50,0,0,1,2023-06-26
МТС-ао,RU0007775219,RUB,10,0.1,344.45,3444.50,0,10,0.1,345.4,3454.00,0,0,9.50,10,0,20,2023-06-26
Сбербанк,RU0009029540,RUB,30,3,239.79,7193.70,0,30,3,238.83,7164.90,0,0,-28.80,0,0,30,2023-06-26
FXDEETF,IE00BD3QJN10,RUB,100,1,29.95,2995.00,0,100,1,29.48,2948.00,0,0,-47.00,0,0,100,2021-11-26
FXDMETF,IE00BMDKNM37,RUB,70,1,79.41,5558.70,0,70,1,78.07,5464.90,0,0,-93.80,0,0,70,2021-11-26
FXGDETF,IE00B8XB7377,RUB,2,1,898.4,1796.80,0,2,1,914.4,1828.80,0,0,32.00,0,0,2,2021-11-26
FXIMETF,IE00BNC2D728,RUB,23,1,102.75,2363.25,0,30,1,102.31,3069.30,0,7,706.05,0,0,30,2021-11-26
FXRLETF,IE00BQ1Y6480,RUB,100,1,43.215,4321.50,0,135,1,41.995,5669.33,0,35,1347.83,0,0,135,2021-11-26
FXRUETF,IE00BD5FH213,RUB,3,1,950.8,2852.40,0,3,1,961,2883.00,0,0,30.60,0,0,3,2021-11-26
FXRWETF,IE00BK224M36,RUB,800,1,1.3547,1083.76,0,800,1,1.3317,1065.36,0,0,-18.40,0,0,800,2021-11-26
FXUSETF,IE00BD3QHZ91,RUB,300,1,64.47,19341.00,0,300,1,63.78,19134.00,0,0,-207.00,0,0,300,2021-11-26
SBSPETF,RU000A1006W1,RUB,3,1,1869,5607.00,0,3,1,1852.6,5557.80,0,0,-49.20,0,0,3,2021-11-26
VTBEETF,RU000A100HQ5,RUB,50,1,92.91,4645.50,0,63,1,91.03,5734.89,0,13,1089.39,0,0,63,2021-11-26
БПИФбрутто,RU000A0ZZH92,RUB,240,1,20.031,4807.44,0,268,1,19.457,5214.48,0,28,407.04,0,0,268,2021-11-26
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2022-11-26
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2022-11-26
БПИФбрутто,RU000A0ZZH92,RUB,417,1,11.721,4887.66,0,417,1,11.721,4887.66,0,0,0.00,0,0,417,2022-11-26
25084,RU000A101FA1,RUB,30,1000,98.496,29548.80,344.1,30,1000,98.496,29548.80,357.3,0,0.00,0,0,30,2022-12-26
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2022-12-26
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2022-12-26
БПИФбрутто,RU000A0ZZH92,RUB,417,1,11.62,4845.54,0,417,1,11.704,4880.57,0,0,35.03,53,0,470,2022-12-26
25084,RU000A101FA1,RUB,35,1000,99.232,34731.20,106.75,35,1000,99.304,34756.40,111.65,0,25.20,0,0,35,2023-04-27
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-04-27
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-04-27
БПИФбрутто,RU000A0ZZH92,RUB,750,1,14.326,10744.50,0,750,1,14.388,10791.00,0,0,46.50,80,0,830,2023-04-27
ГАЗПРОМао,RU0007661625,RUB,10,5,178.88,1788.80,0,10,5,181.61,1816.10,0,0,27.30,10,0,20,2023-04-27
МТС-ао,RU0007775219,RUB,10,0.1,273,2730.00,0,10,0.1,271.45,2714.50,0,0,-15.50,0,0,10,2023-04-27
Сбербанк,RU0009029540,RUB,10,3,235.42,2354.20,0,10,3,238.56,2385.60,0,0,31.40,10,0,20,2023-04-27
FXDEETF,IE00BD3QJN10,RUB,1,1,3144.5,3144.50,0,1,1,3130,3130.00,0,0,-14.50,0,0,1,2021-05-27
FXDMETF,IE00BMDKNM37,RUB,40,1,76.85,3074.00,0,40,1,76.87,3074.80,0,0,0.80,0,0,40,2021-05-27
FXIMETF,IE00BNC2D728,RUB,20,1,85.79,1715.80,0,20,1,85.38,1707.60,0,0,-8.20,0,0,20,2021-05-27
FXRLETF,IE00BQ1Y6480,RUB,1,1,3961,3961.00,0,1,1,3967,3967.00,0,0,6.00,0,0,1,2021-05-27
FXRUETF,IE00BD5FH213,RUB,2,1,951.9,1903.80,0,2,1,952.2,1904.40,0,0,0.60,0,0,2,2021-05-27
FXRWETF,IE00BK224M36,RUB,465,1,1.2427,577.86,0,465,1,1.2406,576.88,0,0,-0.98,0,0,465,2021-05-27
FXUSETF,IE00BD3QHZ91,RUB,1,1,5654,5654.00,0,2,1,5647,11294.00,0,1,5640.00,0,0,2,2021-05-27
SBSPETF,RU000A1006W1,RUB,2,1,1641.4,3282.80,0,2,1,1641,3282.00,0,0,-0.80,0,0,2,2021-05-27
VTBEETF,RU000A100HQ5,RUB,3,1,96.49,289.47,0,3,1,96.82,290.46,0,0,0.99,0,0,3,2021-05-27
БПИФбрутто,RU000A0ZZH92,RUB,2,1,1826.5,3653.00,0,2,1,1834,3668.00,0,0,15.00,0,0,2,2021-05-27
25084,RU000A101FA1,RUB,35,1000,99.492,34822.20,416.85,35,1000,99.518,34831.30,421.75,0,9.10,0,0,35,2023-06-27
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-06-27
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-06-27
YandexclA,NL0009805522,RUB,1,0.01,2407.2,2407.20,0,1,0.01,2408.2,2408.20,0,0,1.00,0,0,1,2023-06-27
БПИФбрутто,RU000A0ZZH92,RUB,830,1,15.663,13000.29,0,830,1,15.693,13025.19,0,0,24.90,0,0,830,2023-06-27
ГАЗПРОМао,RU0007661625,RUB,30,5,167.28,5018.40,0,30,5,166.79,5003.70,0,0,-14.70,0,0,30,2023-06-27
ЛУКОЙЛ,RU0009024277,RUB,1,0.025,5070.5,5070.50,0,1,0.025,5128,5128.00,0,0,57.50,0,0,1,2023-06-27
Магнитао,RU000A0JKQU8,RUB,1,0.01,4807,4807.00,0,1,0.01,4828.5,4828.50,0,0,21.50,0,0,1,2023-06-27
МТС-ао,RU0007775219,RUB,10,0.1,345.4,3454.00,0,20,0.1,345.7,6914.00,0,10,3460.00,0,0,20,2023-06-27
Сбербанк,RU0009029540,RUB,30,3,238.83,7164.90,0,30,3,239.77,7193.10,0,0,28.20,0,0,30,2023-06-27
FXDEETF,IE00BD3QJN10,RUB,103,1,29.35,3023.05,0,103,1,29.295,3017.39,0,0,-5.66,15,0,118,2021-12-27
FXDMETF,IE00BMDKNM37,RUB,78,1,77.99,6083.22,0,78,1,78.17,6097.26,0,0,14.04,11,0,89,2021-12-27
FXGDETF,IE00B8XB7377,RUB,2,1,890.4,1780.80,0,2,1,892.2,1784.40,0,0,3.60,0,0,2,2021-12-27
FXIMETF,IE00BNC2D728,RUB,30,1,102.36,3070.80,0,30,1,102.54,3076.20,0,0,5.40,0,0,30,2021-12-27
FXRLETF,IE00BQ1Y6480,RUB,150,1,40.57,6085.50,0,150,1,41.11,6166.50,0,0,81.00,20,0,170,2021-12-27
FXRUETF,IE00BD5FH213,RUB,3,1,933.4,2800.20,0,3,1,932.6,2797.80,0,0,-2.40,0,0,3,2021-12-27
FXRWETF,IE00BK224M36,RUB,900,1,1.3459,1211.31,0,900,1,1.3512,1216.08,0,0,4.77,135,0,1035,2021-12-27
FXUSETF,IE00BD3QHZ91,RUB,300,1,63.32,18996.00,0,300,1,63.31,18993.00,0,0,-3.00,0,0,300,2021-12-27
SBSPETF,RU000A1006W1,RUB,3,1,1843.4,5530.20,0,3,1,1848.6,5545.80,0,0,15.60,1,0,4,2021-12-27
VTBEETF,RU000A100HQ5,RUB,67,1,89.24,5979.08,0,67,1,89.55,5999.85,0,0,20.77,11,0,78,2021-12-27
БПИФбрутто,RU000A0ZZH92,RUB,320,1,18.813,6020.16,0,320,1,19.019,6086.08,0,0,65.92,50,0,370,2021-12-27
25084,RU000A101FA1,RUB,30,1000,98.496,29548.80,357.3,30,1000,98.482,29544.60,361.5,0,-4.20,0,0,30,2022-12-27
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2022-12-27
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2022-12-27
БПИФбрутто,RU000A0ZZH92,RUB,417,1,11.704,4880.57,0,470,1,11.779,5536.13,0,53,655.56,0,0,470,2022-12-27
25084,RU000A101FA1,RUB,30,1000,98.726,29617.80,631.8,30,1000,98.67,29601.00,636,0,-16.80,0,0,30,2023-02-28
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-02-28
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-02-28
БПИФбрутто,RU000A0ZZH92,RUB,470,1,12.237,5751.39,0,470,1,12.356,5807.32,0,0,55.93,0,0,470,2023-02-28
25084,RU000A101FA1,RUB,35,1000,99.304,34756.40,111.65,35,1000,99.303,34756.05,116.9,0,-0.35,0,0,35,2023-04-28
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-04-28
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-04-28
БПИФбрутто,RU000A0ZZH92,RUB,750,1,14.388,10791.00,0,750,1,14.361,10770.75,0,0,-20.25,80,0,830,2023-04-28
ГАЗПРОМао,RU0007661625,RUB,10,5,181.61,1816.10,0,10,5,182.39,1823.90,0,0,7.80,10,0,20,2023-04-28
МТС-ао,RU0007775219,RUB,10,0.1,271.45,2714.50,0,10,0.1,272.1,2721.00,0,0,6.50,0,0,10,2023-04-28
Сбербанк,RU0009029540,RUB,10,3,238.56,2385.60,0,10,3,239.83,2398.30,0,0,12.70,10,0,20,2023-04-28
FXDEETF,IE00BD3QJN10,RUB,103,1,29.295,3017.39,0,103,1,29.69,3058.07,0,0,40.68,15,0,118,2021-12-28
FXDMETF,IE00BMDKNM37,RUB,78,1,78.17,6097.26,0,78,1,78.8,6146.40,0,0,49.14,11,0,89,2021-12-28
FXGDETF,IE00B8XB7377,RUB,2,1,892.2,1784.40,0,2,1,897.8,1795.60,0,0,11.20,0,0,2,2021-12-28
FXIMETF,IE00BNC2D728,RUB,30,1,102.54,3076.20,0,30,1,103.77,3113.10,0,0,36.90,0,0,30,2021-12-28
FXRLETF,IE00BQ1Y6480,RUB,150,1,41.11,6166.50,0,150,1,41.7,6255.00,0,0,88.50,20,0,170,2021-12-28
FXRUETF,IE00BD5FH213,RUB,3,1,932.6,2797.80,0,3,1,935.1,2805.30,0,0,7.50,0,0,3,2021-12-28
FXRWETF,IE00BK224M36,RUB,900,1,1.3512,1216.08,0,900,1,1.3641,1227.69,0,0,11.61,135,0,1035,2021-12-28
FXUSETF,IE00BD3QHZ91,RUB,300,1,63.31,18993.00,0,300,1,64.46,19338.00,0,0,345.00,0,0,300,2021-12-28
SBSPETF,RU000A1006W1,RUB,3,1,1848.6,5545.80,0,3,1,1873.6,5620.80,0,0,75.00,1,0,4,2021-12-28
VTBEETF,RU000A100HQ5,RUB,67,1,89.55,5999.85,0,67,1,90.25,6046.75,0,0,46.90,11,0,78,2021-12-28
БПИФбрутто,RU000A0ZZH92,RUB,320,1,19.019,6086.08,0,320,1,19.267,6165.44,0,0,79.36,50,0,370,2021-12-28
25084,RU000A101FA1,RUB,32,1000,98.835,31627.20,808.64,32,1000,98.817,31621.44,813.12,0,-5.76,1,0,33,2023-03-29
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-03-29
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-03-29
БПИФбрутто,RU000A0ZZH92,RUB,570,1,13.361,7615.77,0,570,1,13.451,7667.07,0,0,51.30,110,0,680,2023-03-29
МТС-ао,RU0007775219,RUB,0,0.1,257.65,0.00,0,0,0.1,257.75,0.00,0,0,0.00,10,0,10,2023-03-29
Сбербанк,RU0009029540,RUB,10,3,212.73,2127.30,0,10,3,216.83,2168.30,0,0,41.00,0,0,10,2023-03-29
25084,RU000A101FA1,RUB,35,1000,99.283,34749.05,259.35,35,1000,99.289,34751.15,274.4,0,2.10,0,0,35,2023-05-29
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-05-29
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-05-29
