Наименование,ISIN,Валюта,Количество_нп,Номинал_нп,Цена_нп,Стоимость_нп,НКД_нп,Количество_кп,Номинал_кп,Цена_кп,Стоимость_кп,НКД_кп,Количество_изп,Стоимость_изп,Зачисления,Списания,Остаток,Дата
SBSPETF,RU000A1006W1,RUB,4,1,1794.2,7176.80,0,4,1,1776.8,7107.20,0,0,-69.60,1,0,5,2022-02-18
VTBEETF,RU000A100HQ5,RUB,78,1,94.09,7339.02,0,78,1,93.77,7314.06,0,0,-24.96,3,0,81,2022-02-18
БПИФбрутто,RU000A0ZZH92,RUB,410,1,18.26,7486.60,0,410,1,17.555,7197.55,0,0,-289.05,7,0,417,2022-02-18
25084,RU000A101FA1,RUB,35,1000,99.2,34720.00,60.9,35,1000,99.204,34721.40,66.15,0,1.40,0,0,35,2023-04-18
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-04-18
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-04-18
БПИФбрутто,RU000A0ZZH92,RUB,680,1,14.2,9656.00,0,750,1,14.278,10708.50,0,70,1052.50,0,0,750,2023-04-18
ГАЗПРОМао,RU0007661625,RUB,0,5,180.99,0.00,0,10,5,183.29,1832.90,0,10,1832.90,0,0,10,2023-04-18
МТС-ао,RU0007775219,RUB,10,0.1,262.35,2623.50,0,10,0.1,262.75,2627.50,0,0,4.00,0,0,10,2023-04-18
Сбербанк,RU0009029540,RUB,10,3,224.81,2248.10,0,10,3,229.32,2293.20,0,0,45.10,0,0,10,2023-04-18
FXDEETF,IE00BD3QJN10,RUB,0,1,3120,0.00,0,0,1,3135.5,0.00,0,0,0.00,1,0,1,2021-05-18
FXDMETF,IE00BMDKNM37,RUB,0,1,75.97,0.00,0,0,1,76.81,0.00,0,0,0.00,40,0,40,2021-05-18
FXIMETF,IE00BNC2D728,RUB,0,1,83.88,0.00,0,0,1,83.98,0.00,0,0,0.00,20,0,20,2021-05-18
FXRLETF,IE00BQ1Y6480,RUB,0,1,3885,0.00,0,0,1,3939.5,0.00,0,0,0.00,1,0,1,2021-05-18
FXRUETF,IE00BD5FH213,RUB,0,1,953.6,0.00,0,0,1,951.7,0.00,0,0,0.00,2,0,2,2021-05-18
FXRWETF,IE00BK224M36,RUB,0,1,1.2134,0.00,0,0,1,1.2243,0.00,0,0,0.00,465,0,465,2021-05-18
FXUSETF,IE00BD3QHZ91,RUB,0,1,5623,0.00,0,0,1,5618,0.00,0,0,0.00,1,0,1,2021-05-18
SBSPETF,RU000A1006W1,RUB,0,1,1629.4,0.00,0,0,1,1631.6,0.00,0,0,0.00,2,0,2,2021-05-18
VTBEETF,RU000A100HQ5,RUB,0,1,94.03,0.00,0,0,1,95.69,0.00,0,0,0.00,3,0,3,2021-05-18
БПИФбрутто,RU000A0ZZH92,RUB,0,1,1794,0.00,0,0,1,1819,0.00,0,0,0.00,2,0,2,2021-05-18
FXDEETF,IE00BD3QJN10,RUB,1,1,3094,3094.00,0,1,1,3061,3061.00,0,0,-33.00,0,0,1,2021-06-18
FXDMETF,IE00BMDKNM37,RUB,40,1,76.77,3070.80,0,40,1,75.88,3035.20,0,0,-35.60,0,0,40,2021-06-18
FXGDETF,IE00B8XB7377,RUB,0,1,877.8,0.00,0,0,1,870.8,0.00,0,0,0.00,1,0,1,2021-06-18
FXIMETF,IE00BNC2D728,RUB,20,1,86.12,1722.40,0,20,1,87.07,1741.40,0,0,19.00,0,0,20,2021-06-18
FXRLETF,IE00BQ1Y6480,RUB,1,1,4086.5,4086.50,0,1,1,4072,4072.00,0,0,-14.50,0,0,1,2021-06-18
FXRUETF,IE00BD5FH213,RUB,2,1,937.5,1875.00,0,2,1,938.2,1876.40,0,0,1.40,1,0,3,2021-06-18
FXRWETF,IE00BK224M36,RUB,465,1,1.259,585.44,0,465,1,1.2574,584.69,0,0,-0.75,0,0,465,2021-06-18
FXUSETF,IE00BD3QHZ91,RUB,3,1,5593,16779.00,0,3,1,5580,16740.00,0,0,-39.00,0,0,3,2021-06-18
SBSPETF,RU000A1006W1,RUB,2,1,1621,3242.00,0,2,1,1618.4,3236.80,0,0,-5.20,0,0,2,2021-06-18
VTBEETF,RU000A100HQ5,RUB,3,1,95.74,287.22,0,3,1,95.75,287.25,0,0,0.03,0,0,3,2021-06-18
БПИФбрутто,RU000A0ZZH92,RUB,240,1,18.948,4547.52,0,240,1,18.779,4506.96,0,0,-40.56,0,0,240,2021-06-18
FXDEETF,IE00BD3QJN10,RUB,0,1,3135.5,0.00,0,1,1,3079.5,3079.50,0,1,3079.50,0,0,1,2021-05-19
FXDMETF,IE00BMDKNM37,RUB,0,1,76.81,0.00,0,40,1,75.65,3026.00,0,40,3026.00,0,0,40,2021-05-19
FXIMETF,IE00BNC2D728,RUB,0,1,83.98,0.00,0,20,1,81.81,1636.20,0,20,1636.20,0,0,20,2021-05-19
FXRLETF,IE00BQ1Y6480,RUB,0,1,3939.5,0.00,0,1,1,3899,3899.00,0,1,3899.00,0,0,1,2021-05-19
